codigo,nome,lat,lon,altitude,anos_dados,data_inicio,data_fim,operando,operadora,bacia_nome,sub_bacia_pref,dist_exutorio_km,dist_centroide_bacia_km,score_anos,score_falhas,score_proximidade,score
2345019,SÃO JOSÉ DOS CAMPOS,-23.1833,-45.8833,560.0,62.76,1942-10-01,2005-07-06,True,SPÁGUAS-SP,"ATLÂNTICO,TRECHO LESTE",2345,6.959120419427897,6.959120419427897,1.0,1.0,0.7418639662140886,0.9483727932428178
2345152,ÁGUA SOCA,-23.05,-45.9,570.0,62.35,1943-03-01,2005-07-06,True,SPÁGUAS-SP,"ATLÂNTICO,TRECHO LESTE",2345,8.338858991832234,8.338858991832234,1.0,1.0,0.7057447163191841,0.9411489432638369
2345111,SÃO JOSÉ DOS CAMPOS,-23.1997,-45.8878,590.0,63.75,1949-03-01,2012-12-01,False,LIGHT,"ATLÂNTICO,TRECHO LESTE",2345,8.572219225924059,8.572219225924059,1.0,1.0,0.6999806295008986,0.9399961259001798
2345083,SÃO JOSÉ DOS CAMPOS,-23.2167,-45.85,644.0,90.97,1914-05-01,2005-04-18,True,INMET,"ATLÂNTICO,TRECHO LESTE",2345,11.783159867768456,11.783159867768456,1.0,1.0,0.6292640531403598,0.925852810628072
2345164,PARARANGABA,-23.1833,-45.8,570.0,45.43,1960-02-01,2005-07-06,True,SPÁGUAS-SP,"ATLÂNTICO,TRECHO LESTE",2345,12.750664384367628,12.750664384367628,1.0,1.0,0.6106746344219598,0.922134926884392
2345064,BUQUIRINHA,-23.1167,-45.9167,575.0,34.75,1937-11-01,1972-08-01,False,ANA,"ATLÂNTICO,TRECHO LESTE",2345,1.3172483786177074,1.3172483786177074,0.86875,1.0,0.9382073917223306,0.9220164783444661
2345020,BAIRRO CAJURU,-23.2167,-45.7833,590.0,45.18,1960-05-01,2005-07-06,True,SPÁGUAS-SP,"ATLÂNTICO,TRECHO LESTE",2345,16.281074643345292,16.281074643345292,1.0,1.0,0.5512515876832887,0.9102503175366579
2345024,JACAREÍ,-23.2833,-45.95,570.0,63.89,1942-10-01,2006-08-22,True,SPÁGUAS-SP,"ATLÂNTICO,TRECHO LESTE",2345,18.169909710481807,18.169909710481807,1.0,1.0,0.5239729449637084,0.9047945889927418
2345156,CAPUAVA,-23.2833,-45.8333,660.0,45.51,1960-01-01,2005-07-06,True,SPÁGUAS-SP,"ATLÂNTICO,TRECHO LESTE",2345,19.184732707710037,19.184732707710037,1.0,1.0,0.5104028691272603,0.9020805738254521
2345012,SAPÉ,-23.1333,-45.7167,620.0,63.7,1942-10-01,2006-06-12,True,SPÁGUAS-SP,"ATLÂNTICO,TRECHO LESTE",2345,19.503515997500653,19.503515997500653,1.0,1.0,0.5062840482671309,0.9012568096534262
2345110,JACAREÍ (SE),-23.2978,-45.9517,590.0,84.92,1928-01-01,2012-12-01,False,LIGHT,"ATLÂNTICO,TRECHO LESTE",2345,19.777807568243105,19.777807568243105,1.0,1.0,0.5027929195365494,0.9005585839073099
2345028,JACAREÍ,-23.3,-45.9667,570.0,72.08,1901-01-01,1973-02-01,False,ANA,"ATLÂNTICO,TRECHO LESTE",2345,20.418872028030766,20.418872028030766,1.0,1.0,0.4948183607432158,0.8989636721486431
