codigo,nome,lat,lon,altitude,inicio,fim,anos_bons,pct_falhas,arquivo
2245048,—,—,—,—,1932,2025,91,0.3,Estacao_2245048_CSV_2026-04-27T20_27_56.695Z.zip
2245055,—,—,—,—,1935,2025,90,0.4,Estacao_2245055_CSV_2026-04-27T20_28_10.558Z.zip
2345065,—,—,—,—,1935,2025,90,0.4,Estacao_2345065_CSV_2026-04-27T20_31_35.612Z.zip
2345063,—,—,—,—,1929,2025,89,1.3,Estacao_2345063_CSV_2026-04-27T20_31_27.913Z.zip
2345067,—,—,—,—,1936,2025,89,0.0,Estacao_2345067_CSV_2026-04-27T20_31_41.933Z.zip
2345062,—,—,—,—,1937,2025,87,0.3,Estacao_2345062_CSV_2026-04-27T20_31_27.314Z.zip
2244010,—,—,—,—,1935,2025,86,0.7,Estacao_2244010_CSV_2026-04-27T20_25_41.506Z.zip
2345032,—,—,—,—,1940,2024,83,0.2,Estacao_2345032_CSV_2026-04-27T20_31_22.085Z.zip
2245032,—,—,—,—,1930,2013,82,0.5,Estacao_2245032_CSV_2026-04-27T20_27_38.352Z.zip
2245054,—,—,—,—,1939,2024,81,0.3,Estacao_2245054_CSV_2026-04-27T20_28_10.019Z.zip
2345012,—,—,—,—,1942,2024,80,0.0,Estacao_2345012_CSV_2026-04-27T20_30_43.769Z.zip
2244133,—,—,—,—,1937,2016,77,0.2,Estacao_2244133_CSV_2026-04-27T20_26_31.084Z.zip
2244001,—,—,—,—,1943,2025,77,0.3,Estacao_2244001_CSV_2026-04-27T20_25_35.893Z.zip
2244004,—,—,—,—,1929,2004,74,0.4,Estacao_2244004_CSV_2026-04-27T20_25_37.766Z.zip
2245007,—,—,—,—,1933,2006,73,0.0,Estacao_2245007_CSV_2026-04-27T20_27_11.038Z.zip
2346099,—,—,—,—,1929,2003,73,0.3,Estacao_2346099_CSV_2026-04-27T20_34_15.798Z.zip
2346019,—,—,—,—,1937,2020,71,0.6,Estacao_2346019_CSV_2026-04-27T20_34_14.544Z.zip
2345034,—,—,—,—,1943,2023,71,0.6,Estacao_2345034_CSV_2026-04-27T20_31_22.942Z.zip
2345024,—,—,—,—,1942,2023,70,0.7,Estacao_2345024_CSV_2026-04-27T20_31_18.871Z.zip
2244124,—,—,—,—,1928,2016,70,0.6,Estacao_2244124_CSV_2026-04-27T20_26_28.732Z.zip
2345023,—,—,—,—,1953,2024,70,0.1,Estacao_2345023_CSV_2026-04-27T20_31_18.359Z.zip
2345071,—,—,—,—,1952,2025,69,3.1,Estacao_2345071_CSV_2026-04-27T20_31_44.172Z.zip
2245122,—,—,—,—,1928,1995,67,0.0,Estacao_2245122_CSV_2026-04-27T20_28_54.113Z.zip
2245128,—,—,—,—,1928,2003,66,0.3,Estacao_2245128_CSV_2026-04-27T20_29_01.190Z.zip
2245020,—,—,—,—,1957,2023,66,0.1,Estacao_2245020_CSV_2026-04-27T20_27_14.955Z.zip
2345103,—,—,—,—,1928,2003,66,0.5,Estacao_2345103_CSV_2026-04-27T20_32_02.183Z.zip
2345008,—,—,—,—,1945,2024,65,0.2,Estacao_2345008_CSV_2026-04-27T20_30_37.240Z.zip
2345037,—,—,—,—,1942,2018,64,0.8,Estacao_2345037_CSV_2026-04-27T20_31_23.443Z.zip
2345164,—,—,—,—,1960,2023,63,0.2,Estacao_2345164_CSV_2026-04-27T20_32_53.294Z.zip
2346315,—,—,—,—,1943,2010,62,2.3,Estacao_2346315_CSV_2026-04-27T20_34_27.183Z.zip
2245129,—,—,—,—,1928,1995,62,2.5,Estacao_2245129_CSV_2026-04-27T20_29_01.728Z.zip
2345102,—,—,—,—,1927,2003,61,0.4,Estacao_2345102_CSV_2026-04-27T20_31_54.045Z.zip
2244003,—,—,—,—,1934,2004,61,0.7,Estacao_2244003_CSV_2026-04-27T20_25_37.191Z.zip
2345161,—,—,—,—,1957,2023,60,0.8,Estacao_2345161_CSV_2026-04-27T20_32_51.823Z.zip
2345159,—,—,—,—,1954,2015,60,0.1,Estacao_2345159_CSV_2026-04-27T20_32_41.511Z.zip
2244005,—,—,—,—,1937,2000,59,0.4,Estacao_2244005_CSV_2026-04-27T20_25_38.215Z.zip
2344009,—,—,—,—,1967,2025,58,0.1,Estacao_2344009_CSV_2026-04-27T20_30_22.768Z.zip
2345041,—,—,—,—,1940,1999,58,0.3,Estacao_2345041_CSV_2026-04-27T20_31_24.058Z.zip
2244048,—,—,—,—,1967,2025,58,0.1,Estacao_2244048_CSV_2026-04-27T20_26_05.666Z.zip
2345019,—,—,—,—,1942,2003,58,0.7,Estacao_2345019_CSV_2026-04-27T20_30_46.933Z.zip
2245050,—,—,—,—,1939,2009,57,0.4,Estacao_2245050_CSV_2026-04-27T20_28_02.357Z.zip
2345106,—,—,—,—,1955,2012,57,0.5,Estacao_2345106_CSV_2026-04-27T20_32_05.926Z.zip
2245024,—,—,—,—,1957,2022,56,2.0,Estacao_2245024_CSV_2026-04-27T20_27_16.266Z.zip
2345152,—,—,—,—,1943,2000,55,0.5,Estacao_2345152_CSV_2026-04-27T20_32_34.316Z.zip
2345154,—,—,—,—,1943,2003,55,0.4,Estacao_2345154_CSV_2026-04-27T20_32_35.740Z.zip
2245036,—,—,—,—,1936,2000,55,0.4,Estacao_2245036_CSV_2026-04-27T20_27_48.295Z.zip
2345111,—,—,—,—,1949,2003,54,0.2,Estacao_2345111_CSV_2026-04-27T20_32_06.883Z.zip
2245045,—,—,—,—,1943,2001,53,0.6,Estacao_2245045_CSV_2026-04-27T20_27_54.145Z.zip
2245042,—,—,—,—,1945,1999,53,0.3,Estacao_2245042_CSV_2026-04-27T20_27_52.082Z.zip
2245041,—,—,—,—,1940,1997,53,0.4,Estacao_2245041_CSV_2026-04-27T20_27_51.399Z.zip
2244020,—,—,—,—,1913,1967,53,0.1,Estacao_2244020_CSV_2026-04-27T20_26_00.553Z.zip
